fiss_density_watersheds_id,elev_min,elev_max,elev_mean,elev_percentile_60
1475,5,1108,495.6565561396559,592
1464,1025,2313,1516.9643472252303,1559
1482,1246,1695,1462.6443141328725,1509
1486,646,1887,1064.2535748125679,1105
1500,1098,1912,1365.0964414563475,1401
1511,663,1859,1363.0881819030528,1469
1555,271,1472,728.5424664825842,778.7999999999993
1571,939,2583,1837.862866346458,1966
1576,583,875,664.5580774917197,667
1577,1073,1438,1159.0724529963938,1146
1583,779,1355,1074.1083866382373,1200
1584,856,2688,1800.9918889804194,1947
1587,954,2146,1422.7702460538035,1474
1599,1109,2037,1596.3843331582593,1645
1596,377,2244,1452.3400030409,1624
1648,640,2613,1566.2375767211417,1662
1625,500,2127,1469.1174617004283,1592
1632,928,2299,1499.7382940193572,1576
1634,1056,1730,1259.0710053486212,1266
1636,92,522,334.33852140077823,359.6
1641,197,250,223.7906976744186,228.2
1644,8,1386,762.077398790677,866
1658,436,740,547.5340425531915,542
1657,697,1693,903.4095780577517,883
1660,862,919,893.376251788269,899
1663,120,2114,918.7939362714014,1067
1665,1373,3419,2047.997453737972,2149
1672,1231,1704,1449.5673390640309,1497
1682,1306,3653,2362.907242002448,2472
1690,1321,2314,1709.4446994847747,1737
1717,788,1847,1315.5405085542232,1404
6701,1504,2436,1821.60437629458,1863
1725,843,2616,1507.8903220944617,1595
1766,620,1982,1094.4687313219758,1124
1769,830,929,879.4078212290502,887
1733,710,2003,1413.5855073895275,1504
1783,958,2606,1742.075049643733,1928
1752,427,681,538.4541069982471,552
1785,450,2036,1179.8293298439107,1283
1757,714,2037,1502.211794015531,1588
1758,884,2563,1373.3145586540809,1442
1777,570,2787,1860.7781907527792,2007
1778,231,1755,797.8937459454886,871
1805,888,2368,1704.6698153891596,1781
1807,1007,2149,1630.9015056435221,1705
1808,138,844,372.7670911550482,400
1811,105,1415,601.9977298463198,704
1816,671,1697,1080.4246378023138,1183
1817,608,1525,1144.1500866122246,1228
1821,1069,2299,1577.426378825721,1644
1822,450,884,722.1884956738089,742
1859,529,2178,1405.2856208761814,1555
1836,968,3170,1702.0777579350467,1863
1831,805,1601,1023.3032537507548,1018
1832,46,1924,961.5188012333609,1053
1845,862,2669,1678.8876093986546,1794
6866,360,1679,916.8689003304388,1028
6867,829,1735,1162.2361912763936,1184
1849,440,919,684.5165920465074,701
2185,1144,1923,1410.780272644028,1379
1853,435,528,457.61925076656445,451
1862,31,1966,960.919358665808,1122
1867,825,2248,1158.8143728154023,1033
1871,684,1747,1225.1106488584062,1275
1873,47,2648,1043.0274581723922,1198
1878,772,1089,952.4618090108705,968
1881,1293,2652,1815.5324023729322,1884
1889,1029,1772,1306.6154360460132,1350
1896,1,2044,738.1917866824717,889
1898,1380,3045,1997.30491204252,2080
1909,1126,2022,1524.601869645536,1566
1911,755,2715,1851.6872261878032,2061
1923,762,3041,1641.6951307711179,1814
1926,1226,1972,1589.623417503191,1643
1928,37,1899,1069.0581520802923,1237
1932,466,2989,1546.5312707489766,1749
1933,7,350,180.06220657276995,214
1948,950,1656,1184.0793314879784,1194
1952,134,952,618.001198452568,672
1953,1581,3057,2109.1521772433075,2160
1954,1132,2841,1739.1182142400762,1821
1956,697,1904,1333.1800034065748,1398.3999999999978
1968,1484,1566,1517.8059701492537,1521
1983,0,2403,1083.650204733846,1259
1991,667,2048,1387.9811984717473,1487
2002,40,2273,1113.3339180564135,1293
8314,10,1165,432.38832472637586,418
2018,1414,2607,1852.386273582116,1897
2040,1241,2201,1790.288308953484,1855
2025,1367,3391,2066.0440451385134,2158
2031,834,1484,1158.6480778720304,1204
2043,1200,2146,1579.7465148543272,1619
2064,971,2243,1534.1273388995933,1587
2081,768,2092,1307.565475768882,1385
2103,910,1491,1142.4502136830185,1173
2083,898,1391,1091.1949236879618,1110
2084,805,2182,1444.341016351123,1463
2085,674,1833,1205.4968884497355,1243
2093,504,1760,746.6401547201741,762
2095,474,1625,1002.9554995394833,1065
2096,1569,3350,2288.2040964878584,2342
2100,264,2587,1649.4897718136453,1839
2101,371,2390,1237.9497159107375,1392
2123,604,2796,1787.7212661422398,1956
2124,995,1935,1466.8278253070237,1530
2125,323,1896,954.0241160185852,1053
2126,1211,2409,1670.5829466809812,1735
2132,1086,2022,1509.6029888389962,1554
2139,914,1924,1244.6856170397941,1311
2145,1025,2052,1442.977568652489,1497
2166,694,1796,1124.3280225800254,1207
2179,129,2220,1216.0864215011823,1321
2192,300,2241,1319.8294265338848,1478
2193,585,3256,2018.4882730930892,2191
2208,1367,3419,2044.378941125555,2146
3363,321,2331,1401.7905495207667,1549
2230,438,2951,1723.996522310767,1867
2231,1018,1244,1141.356896551724,1165.4
2245,739,1796,1154.6511827870984,1227
2247,1012,1949,1376.7451684522657,1435
2272,605,2613,1556.709676540069,1656
2274,794,1873,1235.8720176951874,1273
2280,1139,2730,2077.0036643356643,2201
2282,1183,2671,1706.595201319637,1798
2311,877,1045,995.6990654205607,1018
2319,281,1200,610.5004906771344,619
2303,592,953,800.0163094800903,814
2306,451,1904,1245.7137410156022,1356
2310,840,2224,1472.8929139320207,1589
2324,1060,2512,1470.6565168097366,1507
2332,901,1491,1118.315303252387,1146
2337,721,966,799.6920823310277,801
2343,899,1960,1257.7133559178333,1317
2348,872,2659,1445.0626850423253,1526
2365,1203,2431,1759.1278265963679,1838
2366,413,898,622.2231805929919,673
2367,558,3277,1745.3134999560139,1921
2368,304,2331,1396.8329071029236,1546
2358,831,1905,1386.9958691734946,1476
2372,506,2575,1562.90857491357,1694
2373,758,1507,1011.7787213195069,1019
2383,644,770,681.7052583353038,683
2384,1032,2773,1896.010753915941,2006
2385,810,2909,1529.9069966383745,1642
2381,1490,2576,1924.1023426812585,1968
2388,919,1491,1155.133879945539,1191
2400,531,2393,1710.1841579417699,1846
2404,714,1570,1177.237472071497,1231
2405,305,2570,1237.2877972764284,1335
2410,821,2951,1780.223143565739,1922
4878,449,2144,1432.1311955385152,1527
2415,735,1424,1047.5952525449154,1097
2420,55,1505,729.6816266391631,839
2424,1016,1774,1309.0742293417434,1329
2426,752,2270,1523.3078010794447,1638
2428,27,724,275.53877906710085,308
2438,1177,1972,1569.5189115311966,1630
2439,0,1528,518.575349909625,609
2440,1135,2481,1791.1126173096975,1882
8589,1155,2035,1613.7120579637613,1703
2474,1148,2204,1572.1619489872214,1622
2458,54,425,168.65767251985235,174
2465,714,1773,1315.0286781035759,1386
2471,661,2685,1717.8107132350974,1837
2477,385,1825,860.06368249054,879
2478,1033,1764,1321.5409478349814,1355
2480,924,1082,1016.9277688603531,1029
2489,0,2398,1441.2610861705193,1535
2491,732,3131,1696.4260166982526,1862
2499,747,2685,1741.1615388864338,1849
2504,944,1392,1107.2502804801204,1123
2509,982,2807,1784.9637602077296,1921
2519,998,2429,1548.8727636567253,1632
2520,401,2308,1431.5881050937105,1555
2522,1023,1089,1045.6283367556468,1046
2532,1086,2053,1466.250014919732,1520
2537,1330,2416,1792.6576024195765,1836
2549,389,2249,1599.0645865834633,1719
2551,1138,1719,1357.851296553196,1370
2556,1569,2987,2136.444534554591,2212
2564,725,2086,1419.1627734769438,1521
2566,1467,2712,1995.6273581191292,2082
2578,943,1183,1043.1706204379561,1050
2583,882,1582,1215.5689759641575,1238
2596,769,897,863.2140287769785,877
2598,1043,1097,1078.1922043010752,1083
2603,1312,2625,1814.0228599165578,1894
2604,200,2308,1285.9030061793528,1429
2612,1164,2132,1621.7715464680778,1652
2616,1766,2012,1878.0967032967033,1894.4
2617,1097,2547,1912.8597740204407,2040
2623,1095,1560,1279.9256714729997,1304
2625,221,2256,1207.2227936916988,1347
2626,1271,1802,1511.80051146086,1542
2635,846,3079,1861.861014277978,2015
2675,1144,2654,1922.9793682460515,2014
2676,648,2132,1246.4662271206455,1311
2680,1350,3419,2040.6424386518183,2144
2641,1121,2107,1504.1297920937043,1564
2642,780,1072,981.9406937689472,998
2645,87,1378,521.3408402055778,571
2647,1278,1417,1346.4950495049504,1363
2652,845,1444,989.5062904423464,982
2653,843,2669,1648.221802005673,1767
2795,466,2036,1184.1535228591206,1287
