fiss_density_distinct_id,fiss_density_ids
1,{21240}
2,{10849}
3,{17282}
4,{5626}
5,{44864}
6,{22785}
7,"{15262,15263,15264}"
8,"{23194,23195}"
9,{30888}
10,{24699}
11,"{7069,7070}"
12,{4212}
13,"{37313,37314}"
14,{32566}
15,"{32830,32831}"
16,{1044}
17,{22871}
18,"{11586,11587}"
19,{4941}
20,{35350}
21,{9945}
22,{5794}
23,{28093}
24,"{10889,10890,10891}"
25,"{40248,40249}"
26,{28554}
27,{26647}
28,{24126}
29,{9195}
30,"{41453,41563}"
31,{30333}
32,{41125}
33,{17139}
34,{32697}
35,{28654}
36,"{22136,32557}"
37,{31307}
38,{24951}
39,{18533}
40,{914}
41,{9505}
42,{30913}
43,{9647}
44,"{15672,15673,15674}"
45,{11669}
46,{35192}
47,{7829}
48,{33667}
49,{28677}
50,{7140}
51,{27198}
52,{30856}
53,{6177}
54,{7779}
55,{6565}
56,{33120}
57,{31362}
58,{26164}
59,{9124}
60,{9353}
61,{30758}
62,{8342}
63,{8185}
64,{20271}
65,{21551}
66,"{15692,15693,15694}"
67,{9295}
68,{25796}
69,{25256}
70,"{34438,34439}"
71,{35563}
72,{42743}
73,{8190}
74,{41047}
75,"{23209,23210}"
76,{18493}
77,{37877}
78,{29117}
79,{16088}
80,"{35690,37517}"
81,"{15513,15514}"
82,{6587}
83,{16997}
84,{32206}
85,{1511}
86,{10695}
87,{24056}
88,{38143}
89,{30833}
90,{26893}
91,{6211}
92,{5130}
93,{11589}
94,{4872}
95,{38587}
96,"{15531,20167,20168,20842,20843,20844}"
97,{3777}
98,{3546}
99,{9023}
100,{37218}
101,"{35749,35750,35751}"
102,"{23502,23503,23504,23505}"
103,{18915}
104,{6991}
105,{15591}
106,{6038}
107,{8793}
108,{6919}
109,"{26093,26094}"
110,{22740}
111,"{36171,36182,37826}"
112,"{22332,22585,22933}"
113,{44232}
114,{39582}
115,{24106}
116,"{42222,42223}"
117,{198}
118,{22689}
119,"{13266,13267,13268}"
120,{30939}
121,{27538}
122,{24142}
123,{9022}
124,{3737}
125,"{34096,34097,34098}"
126,"{5065,5066,5067}"
127,{32944}
128,"{39514,39515,39516,39517,39518}"
129,{36008}
130,"{26995,26996}"
131,{3384}
132,{6125}
133,{23964}
134,{14513}
135,"{6530,6531}"
136,"{302,303}"
137,{26298}
138,{12035}
139,{38779}
140,"{11550,14041}"
141,{38877}
142,{42127}
143,"{38957,38958,38959,38960,38961}"
144,{20572}
145,"{1403,6439}"
146,{10429}
147,{44090}
148,"{1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012}"
149,"{9994,9995}"
150,"{28215,28216}"
151,{31297}
152,{44293}
153,{37712}
154,"{31517,31518}"
155,{24186}
156,{37400}
157,"{20803,20921}"
158,{38508}
159,{3436}
160,{23956}
161,{4333}
162,{24544}
163,{25035}
164,{12290}
165,{25033}
166,"{38103,38104}"
167,{33948}
168,"{35566,35567}"
169,{25007}
170,{41067}
171,"{32144,32145}"
256,"{41027,41028}"
172,"{29981,30142,31225,31226,31227,31228,31229,31230,31231}"
173,"{20894,21051}"
174,{1759}
175,"{27058,27059,27060}"
176,{33987}
177,"{37572,37573,37574}"
178,{1683}
179,{23663}
180,"{39223,39224}"
181,{21092}
182,{25683}
183,{18531}
184,{10328}
185,"{10169,10170}"
186,"{34742,34743}"
187,{24635}
188,{10226}
189,{10076}
190,"{23247,23248}"
191,{14296}
192,{32704}
193,"{29039,29040}"
194,"{30815,30983}"
195,"{13667,13672,13673,13680,13681,13682,13683}"
196,{19849}
197,"{2824,2825,2826,2827,2828,2829,2830,2831,3527,3528,3529,3530,3531,3532,3533}"
198,"{22448,22478}"
199,{10768}
200,{31421}
201,{21638}
202,{2166}
203,"{27103,27104}"
204,{3388}
205,{23667}
206,"{4603,4604}"
207,"{5763,5764}"
208,{24927}
209,{3619}
210,{33618}
211,{10298}
212,{21245}
213,{3572}
214,"{8476,8477,8478,8479}"
215,{9760}
216,{12379}
217,"{44006,44007,44008}"
218,{27451}
219,{168}
220,{24430}
221,"{36958,36959}"
222,"{42077,42078,42079}"
223,{15135}
224,{8106}
225,"{25560,25561,25593,25594,25627,25628}"
226,{801}
227,{31824}
228,{10766}
229,{28862}
230,"{1402,6438}"
231,{9277}
232,"{43183,43184}"
233,"{11462,11463,11464,11465}"
234,{35899}
235,"{41793,41794}"
236,{25512}
237,{41982}
238,"{27342,27343}"
239,{44190}
240,{18166}
241,"{42311,42312,42313,42314,42315,42316}"
242,{41497}
243,{40384}
244,"{12148,12826}"
245,"{21229,21241}"
246,{25070}
247,"{21913,21914,21915}"
248,{15520}
249,"{24750,24751}"
250,"{16918,16919,16920,16921,17877,17878,17887,17888,17889}"
251,{28694}
252,{42190}
253,{1084}
254,"{8462,8463}"
255,"{7498,7499,7500}"
257,{28251}
258,"{26378,26379}"
259,{9496}
260,{41389}
261,{8558}
262,{10437}
263,{6739}
264,{10747}
265,{44078}
266,"{39386,39387,39388}"
267,{36912}
268,{25835}
269,{25161}
270,{24378}
271,{4342}
272,{28796}
273,"{26535,26536}"
274,{17097}
275,{17969}
276,{12966}
277,"{27293,27294}"
278,"{15851,16635,16636,16637}"
279,{23998}
280,{33031}
281,{21581}
282,"{7058,7059,7060}"
283,{997}
284,"{33648,33649}"
285,"{34549,36955,36956}"
286,{10870}
287,{9861}
288,{132}
289,{44060}
290,{37187}
291,{24509}
292,{12785}
293,{35285}
294,{25234}
295,"{6812,6813}"
296,{22512}
297,{27168}
298,"{26918,26919,26920,26921,26923}"
299,{17565}
300,{12704}
301,{17612}
302,"{29069,29079}"
303,{31950}
304,{91}
305,"{13790,13791}"
306,"{42728,44366}"
307,{34819}
308,{24961}
309,{16982}
310,"{6118,6119}"
311,"{40016,40017,40018,40019}"
312,"{40801,41665,42094,42116}"
313,"{37695,37699}"
314,{38361}
315,{1197}
316,{10978}
317,{43491}
318,"{3059,3060}"
319,"{30628,30629}"
320,{11005}
321,"{23348,23349}"
322,{19901}
323,{39808}
324,{6529}
325,"{39959,39960}"
326,"{1951,1952,1953}"
327,{18664}
328,{31460}
329,{33259}
330,{6643}
331,{21736}
332,{27866}
333,{29294}
334,{1754}
335,{7565}
336,{1115}
337,{34711}
338,{42774}
339,{40473}
340,{24934}
341,"{26836,26837}"
342,{24508}
343,{23285}
344,"{25800,25801}"
345,{29665}
346,{5093}
347,"{3330,3331}"
348,{41807}
349,{24907}
350,"{2013,2014,2015,3236,3911,3912,4637,4638,4990,4991}"
351,{14669}
352,{8998}
353,{28456}
354,"{11559,14059,14060}"
355,{18440}
356,{33530}
357,{12106}
358,{44138}
359,{24}
360,"{42213,42214}"
361,{30991}
362,{18768}
363,{31742}
364,{26463}
365,{247}
366,{27170}
367,{3372}
368,{32009}
369,"{18456,18461}"
370,"{11532,14021}"
371,{9125}
372,"{4190,4191,4192,5298,5299,5300,5301,5302,5303,5304}"
373,{37882}
374,{1481}
375,{3641}
376,{43137}
377,{28070}
378,"{39500,39501}"
379,{21601}
380,{17028}
381,"{43330,43331,43332}"
382,{14241}
383,"{19598,19599,19601,19602,19603}"
384,{4551}
385,"{32160,32161}"
386,{14749}
387,{43498}
388,{5459}
389,{40777}
390,"{20893,21050}"
391,{6044}
392,{12664}
393,{7122}
394,"{39874,39875}"
395,{36040}
396,{9156}
397,{39288}
398,{27577}
399,"{5825,5826}"
400,{1314}
401,"{38446,38477,38536}"
402,"{21389,21390}"
403,"{42698,44337}"
404,{17658}
405,{1182}
406,{21352}
407,{21674}
408,"{43799,43800,43801,43802}"
409,"{14014,14015,14016}"
410,"{40519,40520,40521}"
411,"{37445,37446,37447,37448}"
412,{40503}
413,{34325}
414,"{31879,32163}"
415,{21515}
416,{1785}
417,{21441}
418,"{19854,19855}"
419,{38369}
420,"{26894,26895,26896}"
421,{10430}
422,{5663}
423,"{4260,4261,4304,4305,5396,5397,5398}"
424,{26184}
425,{20094}
426,{33592}
427,"{39688,39689,39690}"
428,{18556}
429,{782}
430,{4822}
431,{14542}
432,{9044}
433,{22056}
434,{19922}
435,"{19406,19416,19427,19443,19454}"
436,{2207}
437,{8102}
438,{27244}
439,{35352}
440,{27157}
441,{32257}
442,{10078}
443,{33640}
444,"{2106,3155,4689}"
445,{32367}
446,{10656}
447,{9479}
448,{35324}
449,"{11071,11072}"
450,"{31062,31063,31064}"
451,{25196}
452,{43274}
453,{26464}
454,{43896}
455,"{34798,34799,34800}"
456,{7874}
457,{21421}
458,{9146}
459,{36065}
460,{21609}
461,{9007}
462,{8672}
463,"{17598,17599,17601,17602,17603,17604,17605,17606,17607}"
464,{23694}
465,"{11346,11347,11348,17264,17265}"
466,"{38257,38258}"
467,{22067}
468,"{38028,38030,38031}"
469,{3807}
470,"{43296,43297}"
471,{21496}
472,"{32368,32369}"
473,{34839}
474,{24861}
475,"{7997,7998,7999}"
476,{21615}
477,{22687}
478,{14536}
479,"{45121,45122}"
480,"{18733,18734}"
481,{6537}
482,{40127}
483,{5872}
484,{33529}
485,{27372}
486,{6102}
487,{22165}
488,"{35438,35439}"
489,{20111}
490,"{41831,41832}"
491,{20485}
492,{41672}
493,{18713}
494,{29917}
495,"{13218,14182}"
496,{10146}
497,{35177}
498,"{17010,17011}"
499,{10105}
500,{31073}
501,"{36734,36735}"
502,"{15847,16662,16663,16664}"
503,{8292}
504,{35879}
505,{24096}
506,"{42691,42692,42693,44329,44331,44332}"
507,{14299}
508,"{2934,2935,5062,5063}"
509,"{40265,40266,40267,40268}"
510,{32754}
511,{18469}
512,"{29326,29398}"
513,"{38706,38707,38709}"
514,"{38231,38232}"
515,{1921}
516,"{25371,25372,25373,25374,25375}"
517,{9627}
518,{18087}
519,{17176}
520,{43059}
521,{42417}
522,{493}
523,"{26842,26843}"
524,{25142}
525,{34950}
526,"{40800,40802}"
527,"{8612,8613}"
528,{40951}
529,{6003}
530,{11811}
531,{40118}
532,{31439}
533,"{10705,10720}"
534,{35382}
535,{23840}
536,{33819}
537,{20311}
538,{21544}
539,"{21189,21190,28397,28398}"
540,"{27344,27345}"
541,{1769}
542,"{12246,12553}"
543,{969}
544,"{26621,26622}"
545,{25523}
546,"{15225,15226,15227,15228,15229,15230,15231,15232,15304,15305,15306,15307,15308,15309,15310,15311,15312,15313,15314,16348,16349,16350,16351,16352,16353,16354}"
547,{958}
548,"{35849,35850}"
549,{18516}
550,"{44807,44808}"
551,{38489}
552,"{17489,17490}"
553,"{11120,15376,15377}"
554,{44719}
555,{6097}
556,{7447}
557,{40113}
558,"{27621,27622}"
559,{14753}
560,"{3713,3714}"
561,{21852}
562,"{397,398,399,400,544,545,546,547,3003,3004,3005,3108,3109,3110,3286,3287,3288,4442,4443}"
563,"{24468,24469}"
564,{31053}
565,{781}
566,{38562}
567,{5910}
568,{30907}
569,{4321}
570,{41678}
571,{15940}
572,{6692}
573,"{43663,43664}"
574,{39649}
575,"{44541,44542,44548,44549}"
576,{23896}
577,"{39723,39724}"
578,"{21137,28879}"
579,{9047}
580,{6054}
581,{39665}
582,{25704}
583,{1447}
584,{6670}
585,{40530}
586,"{35034,37887}"
587,{27493}
588,{28886}
589,{31030}
590,{3623}
591,{37657}
592,{3841}
593,{3351}
594,{7352}
595,{4979}
596,{21997}
597,{18666}
598,"{19257,19258,19259,19260}"
599,{32207}
600,{24124}
601,{9164}
602,{33760}
603,"{12832,12833,24719,24720}"
604,{32647}
605,{12806}
606,{6518}
607,{17198}
608,{5661}
609,{921}
610,{3417}
611,{30113}
612,{9918}
613,{32210}
614,"{40575,40576}"
615,"{28922,28923}"
616,{24168}
617,"{12932,13721}"
618,{19725}
619,{17642}
620,{41055}
621,"{39378,39379}"
622,{14337}
623,{41002}
624,{12520}
625,{6259}
626,"{42855,42856}"
627,{23775}
628,{6191}
629,"{10508,10509}"
630,{26407}
631,{9206}
632,"{31606,31607}"
633,{18084}
634,"{30240,30241}"
635,{10360}
636,{25469}
637,{29601}
638,"{1003,1004}"
639,{43915}
640,{17055}
641,{33528}
642,{8006}
643,{29158}
644,{6208}
645,"{39173,39174}"
646,{23662}
647,"{64,65,66,67}"
648,{36048}
649,"{20685,21062}"
650,"{40619,40620}"
651,"{36589,36590,36591,36592,37155,37156,37157,37734,37735,37736,37739,37740,37741}"
652,{23074}
653,{23646}
654,{30945}
655,"{32539,32540}"
656,{23848}
657,{17690}
658,"{11357,17258,17259}"
659,{5138}
660,{24816}
661,{25301}
662,{38476}
663,{667}
664,"{31186,31187}"
665,"{11435,11436,11437}"
666,"{1495,1496,1497,1498,1499,1500}"
667,{33798}
668,"{43992,44897}"
669,"{39554,39555}"
670,"{37935,37936,38214,38215}"
671,{42185}
672,"{20166,20837,20838,20839,20840,20841}"
673,{31284}
674,{23645}
675,"{876,877,878,879,880}"
676,{37898}
677,{30633}
678,"{20563,20564}"
679,{35349}
680,{6669}
681,{20910}
682,{6658}
683,{30774}
684,"{693,694,695}"
685,"{28106,28107}"
686,{21829}
687,{10081}
688,{40486}
689,{22844}
690,"{29075,29087}"
691,{6683}
692,{25237}
693,"{19587,19589,19590,19591,19592}"
694,{15076}
695,"{39219,39220}"
696,{8034}
697,{30967}
698,{12812}
699,{5756}
700,{4798}
701,"{894,895}"
702,{4032}
703,{30115}
704,{24292}
705,"{1400,6436}"
706,{35247}
707,{1156}
708,{7857}
709,"{33739,33746}"
710,"{6905,6906}"
711,"{39816,39817,39818,39819,39820}"
712,"{28304,28619}"
713,"{38892,38893,38894,38895}"
714,"{34191,34192,34193,34194,34195,34196,34197,34198,34199}"
715,{23655}
716,{29829}
717,{5931}
718,{29118}
719,{43718}
720,"{39961,39962,39963}"
721,{33519}
722,{6910}
723,{42887}
724,{24833}
725,{10499}
726,{5993}
727,{32360}
728,{3375}
729,"{28975,28976}"
730,{26148}
731,{22141}
732,{10514}
733,{14761}
734,{27371}
735,{36364}
736,{20490}
737,{34600}
738,{1645}
739,{20556}
740,{17734}
741,{30116}
742,{41410}
743,"{5134,5135}"
744,{17785}
745,{24700}
746,{35330}
747,{32639}
748,{9325}
749,{15528}
750,{12501}
751,{17718}
752,{10846}
753,"{33789,33790}"
754,{26482}
755,"{13184,13185,13186}"
756,{29281}
757,{27537}
758,{35593}
759,"{40568,40569,40570,44884,44885,44886}"
760,{33239}
761,"{31644,31645}"
762,"{23241,23242}"
763,"{45140,45141,45142}"
764,"{3088,3211,4563,4564,4565}"
765,{18685}
766,{42810}
767,"{176,177}"
768,"{31327,31328,31329}"
769,"{38129,38130,38131}"
770,"{27651,27652}"
771,{8529}
772,{6988}
773,"{41510,41511}"
774,{1648}
775,{1474}
776,{20266}
777,{41500}
778,"{45033,45034}"
779,{35378}
780,{2875}
781,"{30284,30285,30286}"
782,{30787}
783,"{28920,28921}"
784,{15053}
785,{3636}
786,{32400}
787,"{7842,7843,7844,7845}"
788,{29620}
789,"{37614,37615}"
790,"{9683,9684,9685,9686}"
791,{42170}
792,"{11777,11778}"
793,{9497}
794,{35222}
795,{10142}
796,{20675}
797,"{43398,43399}"
798,{21273}
799,{22854}
800,{17403}
801,{934}
802,{38410}
803,{28414}
804,"{39588,39589}"
805,{43186}
806,"{29300,29301}"
807,"{32812,32813}"
808,"{31184,31185}"
809,{32042}
810,{19907}
811,{35487}
812,{24885}
813,{41320}
814,{9165}
815,{24052}
816,"{23319,23320}"
817,"{33860,33862,33863,33864}"
818,{13077}
819,"{37627,37628}"
820,"{11706,11707,11708,11709,16487,16488,16489,16490,16491,16492,16493,16494,16499,16500,16501,16502,16503,16504,16505,16506,16507,16508,16509,16510,16511,16512,16513,16514,16515,16516,16517,16518,16519,16520,16521,18300,18301,18302,18327,18328,18329,18348,18349,18350,18365,18366,18367}"
821,{22617}
822,{24137}
823,{12197}
824,{32032}
825,{38619}
826,{42822}
827,{7544}
828,"{21795,21796}"
829,{7885}
830,{7975}
831,{34599}
832,{14614}
833,{19866}
834,{11384}
835,{24522}
836,"{2150,2151,2152}"
837,"{2136,2137,2138}"
838,{1315}
839,"{37356,37357}"
840,"{15664,15665,15666}"
841,{769}
842,{45088}
843,{29347}
844,{22162}
845,{14811}
846,{1113}
847,{40706}
848,"{27405,27406,27407,27408,27409,27410}"
849,"{17586,17587}"
850,{6776}
851,"{30687,30688}"
852,"{34388,34389}"
853,{4035}
854,{33959}
855,{33698}
856,{3759}
857,"{44522,44523}"
858,"{5233,5234,5235}"
859,"{32174,32175}"
860,{5315}
861,{44697}
862,{13274}
863,{18668}
864,{21009}
865,"{33992,33993}"
866,{24630}
867,{20959}
868,"{14462,14463,14464,14859}"
869,{4086}
870,{8679}
871,{36234}
