fiss_density_distinct_id,fiss_density_ids,distance_to_stream,stream_order,stream_order_parent,stream_magnitude,gradient,map,map_upstream,upstream_area_ha,channel_width,channel_width_source,mad_m3s,bcalbers_x,bcalbers_y
2,{1187},29.946001264069672,4,7,53,0.0147,881,902,3608.576851893787,4.17,FIELD_MEASURMENT,0.50881,1126074.2875528722,1119471.877672247
3,{14423},1.2762552643012388,5,7,247,0.0773,795,1264,8027.829934527007,14.9,FIELD_MEASURMENT,2.81863,1199010.8206453437,620581.4399695486
4,{21163},10.793047098087438,5,8,337,0.0305,1028,2138,8503.296793352187,14.72,MODELLED,,719811.7411299878,1314635.6744086093
5,{43793},0.2137775343485732,3,6,10,0.0027,542,597,610.6776908185104,8.91,FIELD_MEASURMENT,0.04355,1789088.193786973,625831.3352716849
7,"{10715,10716,10717}",2.685666907419803,2,4,3,0.0102,1390,1511,435.3094953722188,3.22,MODELLED,0.16794,1216621.9854170096,572026.1852134955
8,"{25044,25045}",0.5066487700487647,3,6,10,0.0594,729,764,705.0577537787957,3.97,FIELD_MEASURMENT,0.06384,1006747.3575664781,1125704.3794476602
10,{27706},0.3769486285773156,2,4,3,0.1332,565,583,110.59816901625082,3.95,FIELD_MEASURMENT,0.00621,1331465.9665218752,780490.6374122262
11,"{29374,29375}",4.030578883818667,5,8,198,0.0203,436,972,8673.937380961803,17.2,FIELD_MEASURMENT,,946137.6584159412,1051946.969923399
14,{43413},1.1175667817507489,1,2,1,0.0174,880,880,141.3343873436973,,,0.00701,1252678.1500346146,1015264.3538071603
15,"{43930,43931}",28.099563229334468,4,6,58,0.0221,527,711,1661.8920716044488,8.18,FIELD_MEASURMENT,0.17812,1042020.6167426239,1420919.4998231477
16,{4188},23.377722780911952,2,6,3,0.0406,473,529,464.79496117655356,1.3,FIELD_MEASURMENT,,966930.9950661106,1055571.7308531136
17,{24474},12.637341402804179,4,4,31,0.0224,778,849,1189.3761238328486,7.12,FIELD_MEASURMENT,0.15019,1287983.9071830288,1173827.2667358632
18,"{2041,2042}",14.689647489243832,5,7,189,0.0492,2260,3243,8783.62779518617,18.08,MODELLED,7.94775,1281210.1554648043,528021.0389386008
20,{4758},4.9275688436559255,7,7,1743,0.007,462,723,159306.74503363663,34.29,MODELLED,13.37922,1505548.6197716687,502322.1857840343
20,{4758},4.9275688436559255,7,7,1743,0.007,462,723,159306.74503363663,34.29,MODELLED,13.22886,1505548.6197716687,502322.1857840343
22,{22549},0.38648523772459087,2,2,3,0.133,3933,4347,40.26711335284874,1.22,FIELD_MEASURMENT,,912170.3185140505,612834.0308897947
24,"{1258,1259,1260}",36.84146182916415,3,5,71,0.0815,2453,2697,2030.976436004597,15.78,FIELD_MEASURMENT,,1180983.5278968804,503088.9220372169
25,"{27308,27309}",4.496407330837348,1,3,1,0.0038,646,646,420.51305949535345,1.44,FIELD_MEASURMENT,0.03332,1733159.4753230445,533201.4452639377
26,{37239},11.082357151062139,2,4,2,0.0387,594,596,245.18663018009804,1.39,FIELD_MEASURMENT,0.01269,1068130.4492208667,980466.4056261805
27,{33023},5.634114741564623,1,7,1,0.0296,915,915,27.817259988653603,0.8,FIELD_MEASURMENT,0.00454,1317745.2960654004,922491.2514477328
29,{38701},0.04579127758080277,5,6,149,0.0182,897,1137,6387.930827101048,21.47,FIELD_MEASURMENT,,883472.5546131794,1040861.5454004442
30,"{30998,31436}",2.012814026078522,2,4,5,0.1794,579,606,570.8196820835238,5.17,FIELD_MEASURMENT,0.01055,1444807.883491205,508864.0240720179
31,{39647},37.65756236111495,2,5,2,0.0594,770,771,39.30207537014612,0.79,MODELLED,0.00328,1189741.9916891188,1099181.8365955208
33,{13971},0.7951114960392953,3,5,7,0.0155,484,493,1204.9918693549005,3.08,MODELLED,0.01802,1241685.4808265402,1311904.7979833137
34,{43662},20.47391111441675,1,6,1,0.0158,770,770,55.39532027555053,1.61,FIELD_MEASURMENT,,1069535.3566485886,1051904.4736919268
35,{37403},1.2167053224847961,3,3,7,0.0949,1096,1229,701.2559261588411,4.96,FIELD_MEASURMENT,0.19127,1305274.7790665068,888010.6999800075
36,"{22979,42956}",5.616577455370014,2,3,2,0.0169,738,738,326.1697191473038,2.06,FIELD_MEASURMENT,0.02846,1086954.6588362919,1114483.5709387711
38,{28279},4.962654311010154,2,5,4,0.0386,744,892,178.9109878136576,1.68,MODELLED,0.04337,1371333.904687461,798811.1805049638
39,{17143},6.5702663733772395,1,4,1,0.2008,1329,1329,58.98848509350461,2,FIELD_MEASURMENT,0.01387,1256029.7118381953,1061631.1896738354
