fiss_density_distinct_id,fiss_density_ids,distance_to_stream,stream_order,stream_order_parent,stream_magnitude,gradient,map,map_upstream,upstream_area_ha,channel_width,channel_width_source,mad_m3s,bcalbers_x,bcalbers_y,upstream_area_km,map_upstream_m,map_upstream_2021,cw_modelled_21,cw_modelled_21b
2,{1187},29.946001264069672,4,7,53,0.0147,881,902,3608.576851893787,4.17,FIELD_MEASURMENT,0.50881,1126074.2875528722,1119471.877672247,36.08576851893787,0.902,90.2,6.224684339784751,6.6959001856597045
3,{14423},1.2762552643012388,5,7,247,0.0773,795,1264,8027.829934527007,14.9,FIELD_MEASURMENT,2.81863,1199010.8206453437,620581.4399695486,80.27829934527007,1.264,126.4,9.964538525150012,11.268498185689882
4,{21163},10.793047098087438,5,8,337,0.0305,1028,2138,8503.296793352187,14.72,MODELLED,NA,719811.7411299878,1314635.6744086093,85.03296793352187,2.138,213.8,14.31198325779476,14.716373771103889
5,{43793},0.2137775343485732,3,6,10,0.0027,542,597,610.6776908185104,8.91,FIELD_MEASURMENT,0.04355,1789088.193786973,625831.3352716849,6.106776908185104,0.597,59.7,2.7285919256540243,2.4578990548869437
7,"{10715,10716,10717}",2.685666907419803,2,4,3,0.0102,1390,1511,435.3094953722188,3.22,MODELLED,0.16794,1216621.9854170096,572026.1852134955,4.353094953722188,1.511,151.1,4.50901024023808,3.2202105728284076
8,"{25044,25045}",0.5066487700487647,3,6,10,0.0594,729,764,705.0577537787957,3.97,FIELD_MEASURMENT,0.06384,1006747.3575664781,1125704.3794476602,7.050577537787957,0.764,76.4,3.353913193420677,2.9388244117034272
10,{27706},0.3769486285773156,2,4,3,0.1332,565,583,110.59816901625082,3.95,FIELD_MEASURMENT,0.00621,1331465.9665218752,780490.6374122262,1.1059816901625081,0.583,58.3,1.5759844685256894,1.1120850004243918
11,"{29374,29375}",4.030578883818667,5,8,198,0.0203,436,972,8673.937380961803,17.2,FIELD_MEASURMENT,NA,946137.6584159412,1051946.969923399,86.73937380961803,0.972,97.2,8.595331402467487,10.352164608697585
14,{43413},1.1175667817507489,1,2,1,0.0174,880,880,141.3343873436973,NA,NA,0.00701,1252678.1500346146,1015264.3538071603,1.413343873436973,0.88,88,2.227747616534485,1.5022816939164034
15,"{43930,43931}",28.099563229334468,4,6,58,0.0221,527,711,1661.8920716044488,8.18,FIELD_MEASURMENT,0.17812,1042020.6167426239,1420919.4998231477,16.61892071604449,0.711,71.1,4.181668060181568,4.210659095751835
16,{4188},23.377722780911952,2,6,3,0.0406,473,529,464.79496117655356,1.3,FIELD_MEASURMENT,NA,966930.9950661106,1055571.7308531136,4.647949611765536,0.529,52.9,2.3149861791818354,2.05234578843003
17,{24474},12.637341402804179,4,4,31,0.0224,778,849,1189.3761238328486,7.12,FIELD_MEASURMENT,0.15019,1287983.9071830288,1173827.2667358632,11.893761238328487,0.849,84.9,4.230924397985328,3.918393903031167
18,"{2041,2042}",14.689647489243832,5,7,189,0.0492,2260,3243,8783.62779518617,18.08,MODELLED,7.94775,1281210.1554648043,528021.0389386008,87.8362779518617,3.243,324.3,18.991438501360935,18.075126081643223
20,{4758},4.9275688436559255,7,7,1743,0.007,462,723,159306.74503363663,34.29,MODELLED,13.37922,1505548.6197716687,502322.1857840343,1593.0674503363664,0.723,72.3,17.566518206615935,34.26455160478965
20,{4758},4.9275688436559255,7,7,1743,0.007,462,723,159306.74503363663,34.29,MODELLED,13.22886,1505548.6197716687,502322.1857840343,1593.0674503363664,0.723,72.3,17.566518206615935,34.26455160478965
22,{22549},0.38648523772459087,2,2,3,0.133,3933,4347,40.26711335284874,1.22,FIELD_MEASURMENT,NA,912170.3185140505,612834.0308897947,0.4026711335284874,4.347,434.7,4.283689397498295,1.756675523357438
24,"{1258,1259,1260}",36.84146182916415,3,5,71,0.0815,2453,2697,2030.976436004597,15.78,FIELD_MEASURMENT,NA,1180983.5278968804,503088.9220372169,20.30976436004597,2.697,269.7,10.65656878927887,8.49745635031007
25,"{27308,27309}",4.496407330837348,1,3,1,0.0038,646,646,420.51305949535345,1.44,FIELD_MEASURMENT,0.03332,1733159.4753230445,533201.4452639377,4.205130594953534,0.646,64.6,2.5573374251659104,2.1481788636201298
26,{37239},11.082357151062139,2,4,2,0.0387,594,596,245.18663018009804,1.39,FIELD_MEASURMENT,0.01269,1068130.4492208667,980466.4056261805,2.4518663018009805,0.596,59.6,2.0499812593002584,1.6173435691557059
27,{33023},5.634114741564623,1,7,1,0.0296,915,915,27.817259988653603,0.8,FIELD_MEASURMENT,0.00454,1317745.2960654004,922491.2514477328,0.27817259988653603,0.915,91.5,1.3759240809062603,0.7266705548289762
29,{38701},0.04579127758080277,5,6,149,0.0182,897,1137,6387.930827101048,21.47,FIELD_MEASURMENT,NA,883472.5546131794,1040861.5454004442,63.87930827101048,1.137,113.7,8.657093256401142,9.66905310340788
30,"{30998,31436}",2.012814026078522,2,4,5,0.1794,579,606,570.8196820835238,5.17,FIELD_MEASURMENT,0.01055,1444807.883491205,508864.0240720179,5.708196820835238,0.606,60.6,2.698005096646133,2.3994940985236948
31,{39647},37.65756236111495,2,5,2,0.0594,770,771,39.30207537014612,0.79,MODELLED,0.00328,1189741.9916891188,1099181.8365955208,0.3930207537014612,0.771,77.1,1.3701292235552742,0.7870600807969673
33,{13971},0.7951114960392953,3,5,7,0.0155,484,493,1204.9918693549005,3.08,MODELLED,0.01802,1241685.4808265402,1311904.7979833137,12.049918693549005,0.493,49.3,2.9761493871580984,3.073516728345803
34,{43662},20.47391111441675,1,6,1,0.0158,770,770,55.39532027555053,1.61,FIELD_MEASURMENT,NA,1069535.3566485886,1051904.4736919268,0.5539532027555053,0.77,77,1.5237778938913726,0.920421298331245
35,{37403},1.2167053224847961,3,3,7,0.0949,1096,1229,701.2559261588411,4.96,FIELD_MEASURMENT,0.19127,1305274.7790665068,888010.6999800075,7.012559261588411,1.229,122.9,4.5707463678101625,3.6442902589261603
36,"{22979,42956}",5.616577455370014,2,3,2,0.0169,738,738,326.1697191473038,2.06,FIELD_MEASURMENT,0.02846,1086954.6588362919,1114483.5709387711,3.261697191473038,0.738,73.8,2.5775275923319794,2.0325023818559025
38,{28279},4.962654311010154,2,5,4,0.0386,744,892,178.9109878136576,1.68,MODELLED,0.04337,1371333.904687461,798811.1805049638,1.7891098781365762,0.892,89.2,2.4192369284050104,1.6839016556628936
39,{17143},6.5702663733772395,1,4,1,0.2008,1329,1329,58.98848509350461,2,FIELD_MEASURMENT,0.01387,1256029.7118381953,1061631.1896738354,0.5898848509350461,1.329,132.9,2.221405813459727,1.2161666550230683
40,{3000},5.726210311883106,1,4,1,0.3776,3183,3183,81.72941798229859,NA,NA,NA,931279.5997868421,588115.8735744624,0.8172941798229858,3.183,318.3,4.356801508068846,2.106034164941588
41,{41487},0.10470587152280356,4,4,17,0.0504,802,830,595.5369302067027,1.27,FIELD_MEASURMENT,NA,982195.396095251,1152703.9902904662,5.955369302067027,0.83,83,3.3591160399962856,2.8254252876698898
42,{40257},5.104491134236422,2,4,3,0.0881,851,871,141.56607914200123,1.3,FIELD_MEASURMENT,0.02741,1015160.4645392277,1296832.1045930493,1.4156607914200123,0.871,87.1,2.2139363279283755,1.496350129606889
43,{42279},0.6258148636044804,2,6,7,0.071,732,848,574.4833422948452,3.08,FIELD_MEASURMENT,NA,948506.3177205418,1158980.187135952,5.744833422948452,0.848,84.8,3.3685729343335047,2.8066844148464845
44,"{11816,11817,11818}",4.505155049232833,5,5,330,0.0255,2868,2956,14498.173852625003,30,FIELD_MEASURMENT,NA,1148057.2711767517,386080.5222099533,144.98173852625004,2.956,295.6,20.90010439350056,21.791720727845
48,{45394},14.873924438037486,2,7,3,0.015,691,693,419.54893376265466,2.22,MODELLED,0.00876,1324934.6622541896,1134626.1743923007,4.1954893376265465,0.693,69.3,2.6757507812881007,2.21603672682938
49,{37426},0.5996643343670928,2,7,4,0.0735,800,872,442.5645277764432,1.35,FIELD_MEASURMENT,NA,1024845.8042007135,855104.0392754942,4.425645277764432,0.872,87.2,3.1623784053246755,2.5227515322945315
50,{29447},3.954751322632031,2,3,8,0.0359,590,652,683.4206836273498,3.6,FIELD_MEASURMENT,NA,931128.879202145,1033355.2728816572,6.8342068362734985,0.652,65.2,2.9940083959118886,2.694387014575991
51,{33904},0.4191032314684509,1,3,1,0.1901,952,952,111.6143589131993,NA,NA,0.01026,1367007.5807814596,545291.507931945,1.116143589131993,0.952,95.2,2.178824034043505,1.3978185379843173
53,{24213},0.2910696129436244,1,1,1,0.0045,1253,1253,50.27283104943977,0.98,FIELD_MEASURMENT,NA,824276.3014412596,1097789.3144118078,0.5027283104943977,1.253,125.3,2.0333423081776325,1.1002709262458816
54,{32356},1.4609269454096179,2,3,6,0.0888,727,929,656.4768176124436,5.74,FIELD_MEASURMENT,NA,864110.2187015117,1188585.1454250596,6.564768176124436,0.929,92.9,3.7279661811587035,3.110686404144817
55,{27826},1.1520485881506441,1,1,1,0.0149,1467,1467,14.329162844574789,NA,NA,NA,821468.9817176643,1145835.4663479526,0.1432916284457479,1.467,146.7,1.5236449101075833,0.6657366306311421
58,{31587},6.148839432099207,2,6,6,0.1007,565,607,281.32828557185275,1.33,FIELD_MEASURMENT,NA,1041558.0487722186,1041319.4815386169,2.8132828557185277,0.607,60.7,2.1656619807844546,1.7369039346875885
60,{40872},0.21190077284550796,1,3,1,0.0992,615,615,80.8705850600005,0.59,FIELD_MEASURMENT,0.00498,997702.613450302,1134107.54794384,0.8087058506000049,0.615,61.5,1.4801489050623042,0.987465659590451
62,{34191},0.051202230249079356,1,2,1,0.1038,668,668,95.33153538074775,NA,NA,0.00616,937869.5647957486,973023.2779061563,0.9533153538074776,0.668,66.8,1.6447968734984117,1.1057688493224382
63,{33973},6.00107909045857,3,4,13,0.0795,974,1071,253.40946019715093,2.15,MODELLED,0.04336,919884.5353883569,986306.2057123536,2.534094601971509,1.071,107.1,3.039983015065357,2.1472739532503016
66,"{11836,11837,11838}",0.17189705687391132,5,5,348,0.0572,2525,2949,15384.886140395445,26,FIELD_MEASURMENT,NA,1145813.6356699101,383668.2564310948,153.84886140395446,2.949,294.9,21.257981150704026,22.367754610359764
68,{30525},0.02863548416243339,2,2,3,0.0366,641,652,272.442889801119,1.39,FIELD_MEASURMENT,0.00781,1422699.876539812,519743.71110271773,2.72442889801119,0.652,65.2,2.2468502155049874,1.7685346905332342
69,{29554},3.2004880157549884,4,9,101,0.0013,531,550,20673.543095813082,7,FIELD_MEASURMENT,0.59149,1201633.6516292705,870540.7149017887,206.73543095813082,0.55,55,7.764218770523171,11.871226541485003
74,{29676},0.07630604896485499,4,5,42,0.0769,1315,1584,2353.1618586277064,8.5,FIELD_MEASURMENT,0.69605,1666419.729695562,496922.2625520012,23.531618586277062,1.584,158.4,7.8751866364914545,7.124533551551865
